,Title,Location,Company,Salary,Synopsis,Query,Metro
0,Intelligence Analyst - Entry/Mid-Level,None,        National Security Agency,"
                $45,972 - $73,105 a year","                            Entry is with a high school diploma or GED plus 7 years of relevant experience, or an Associate's degree plus 5 years of relevant experience, or a Bachelor's...",data+analyst,washington+dc
1,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
2,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
3,Product Modeling Analyst,None,        GEICO,None,"                            Statistical Modeling Analyst. Our GEICO Statistical Modeling Analysts earn a starting annual salary between the mid-$60,000s - $70,000 / year....",data+analyst,washington+dc
4,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
5,Health Interventions and Claims Data Analyst,"Washington, DC 20007 (Georgetown area)","        Innovation Center for Biomedical Informatics, Geor...",None,            We are working on applying data science and predictive analytics tools and methods to analyze health claims data (and potentially electronic health records) to...,data+analyst,washington+dc
6,Data Analyst 1 - Petroleum Supply,"Washington, DC 20585",        IMG Crown Energy Services Joint Venture,"
                $40,000 - $45,000 a year","            Supporting the data validation team in resolving data issues. IMG-Crown has an opening for a Data Analyst I with excellent quantitative, analytical and...",data+analyst,washington+dc
7,Data Fellowship (Spring 2018),"Alexandria, VA",        Echelon Insights,"
                $1,000 a month","            Fellows with proven abilities in these areas will have the opportunity to work directly our technology stack, from building tools to automate data collection,...",data+analyst,washington+dc
8,MS Excel Data Analyst F32711,"Washington, DC 20260 (South West area)",        SyApps LLC,None,"            Analyzing all types of data sets. Data science for qualitative and quantitative analysis. Experience in analyzing diverse sets of data, identifying anomalies...",data+analyst,washington+dc
9,Data Analyst 1,"Washington, DC 20585",        IMG Crown Energy Services Joint Venture,"
                $42,000 - $45,000 a year","            Reviews data edits to ensure accuracy of the reported data, correcting and recording omissions, errors, or inconsistencies found, and communicating with the...",data+analyst,washington+dc
10,DATA ANALYST,"Washington, DC",        BlueLabs Analytics,None,Data Analysts are instrumental members of BlueLabs Data Science and engagement teams. BlueLabs Analysts have the opportunity to develop into the Data Science or...,data+analyst,washington+dc
11,Political Data Analyst - Outside Groups,"Washington, DC 20005 (Logan Circle area)",Data Trust,None,"Data Trust is currently seeking a Data Analyst – Outside Groups, a full-time position, that will be responsible for working under the Deputy Director of...",data+analyst,washington+dc
12,Jr. Data Analyst,"Fulton, MD",        NewDay USA,"
                $50,000 - $55,000 a year",            Junior Data Analyst*. Our analytics group is currently seeking a data analyst to join our team on a full-time basis....,data+analyst,washington+dc
13,Data Analyst,"Herndon, VA",        NITS Solutions,None,"            2 - 7+ years of experience as a data analyst or business data analyst. The role of the Data Analyst will provide expertise to acquire, manage, manipulate, and...",data+analyst,washington+dc
14,Political Data Service Analyst,"Washington, DC 20005 (Logan Circle area)",Data Trust,None,"            The Data Services Analyst will be responsible for managing client relationships and fulfilling various requests, primarily with Data Trust’s data firm,...",data+analyst,washington+dc
15,Data Scientist - Entry to Experienced Level,None,        National Security Agency,"
                $69,545 - $86,659 a year","                            Applying the scientific process to data evaluation, performing statistical inference, and data mining. Analyzing data using mathematical/statistical methods....",data+analyst,washington+dc
16,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
17,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Respond to member requests for information about the machine tool and related industries, including end-user industries, as well as information about general...",data+analyst,washington+dc
18,Data Analyst,None,        Callahan & Associates,None,"                            You will be able to reach beyond your technical skills to assist other teams to pull reports, understand our data infrastructure, analyze new projects’ data...",data+analyst,washington+dc
19,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"                            The employee is required to aggregate multiple sources of data from large datasets, extract insights, develop recommendations, create visualizations, and...",data+analyst,washington+dc
20,Data Analyst,None,        Chenega Corporation,None,"                            The Data Analyst will analyze a large variety of documents to ensure proper placement in physical files, perform high-level scanning of master file documents...",data+analyst,washington+dc
